AFF_LOVE_POINT	Очки любви: %d%%
PARTY_SKILL_SP_REGEN	МП-регенерация +%.0f%%
PARTY_SKILL_TANKER	Максим. ХП Боец ближнего боя +%.0f
PARTY_SKILL_WARP	Вправе вызвать участника группы.
PASSWORD_TITLE	Пароль для склада
PICK_ITEM_TITLE	Номер предмета
PICK_MONEY_TITLE	Стоимость
PRIVATE_SHOP_CANNOT_SELL_ITEM	Этот предмет нельзя купить в лавке.
PRIVATE_SHOP_CLOSE_QUESTION	Хотите закрыть лавку?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Имя лавки
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Цена
PVP_LEVEL0	по-рыцарски
PVP_LEVEL1	благородно
PVP_LEVEL2	хорошо
PVP_LEVEL3	дружелюбный
PVP_LEVEL4	нейтральный
PVP_LEVEL5	агрессивный
PVP_LEVEL6	коварный
PVP_LEVEL7	злобный
PVP_LEVEL8	жестокий
PVP_MODE_GUILD	PvP-Режим гильдии активирован
PVP_MODE_KILL	Свободное PvP активировано
PVP_MODE_NORMAL	PvP-мир активирован
PVP_MODE_PROTECT	PvP-защита активирована
PVP_MODE_REVENGE	PvP-враждебный активировано
PVP_OPTION_KILL	Свободный
PVP_OPTION_NORMAL	Мир
PVP_OPTION_PROTECT	Защита
PVP_OPTION_REVENGE	враждебный
QUEST_APPEND	Новое задание  принято.
QUEST_MIN	Мин.
QUEST_SEC	Сек.
QUEST_TIMEOVER	Время исстекло.
QUEST_UNLIMITED_TIME	Без ограничения времени
QUEST_ZEROSEC	0 сек.
QUICKSLOT_REGISTER_DISABLE_ITEM	Этот предмет не может быть добавлен в поле быстрого доступа.
RECEIVE_MESSAGE	%s отправил вам сообщение.
REFINE_COST	Затраты на улучшение: %d янг
REFINE_DESTROY_WARNING	Вероятность разрушения предмета при его улучшении.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Это повышает вероятность улучшения,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	но в случае неудачи предмет будет разрушен. Вы уверенны, что хотите продолжить?
REFINE_DOWN_GRADE_WARNING	Вероятность потери некоторых свойств предмета при попытке его улучшить.
REFINE_DO_YOU_SEPARATE_METIN	Вы хотите удалить Камень духа?
REFINE_FAILURE	Да уж, не сработало. Мы не справились.
REFINE_FAILURE_CAN_NOT_ATTACH	%s нельзя приложить к этому предмету.
REFINE_FAILURE_EQUIP_ITEM	Вы не можете улучшить снаряженный предмет.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Нет камня духа для удаления.
REFINE_FAILURE_NEED_BETTER_SCROLL	Вам необходим лучший Свиток улучшения.
REFINE_FAILURE_NO_GOLD_SOCKET	Добавление %s невыполнимо из-за отсутствия золотой оправы.
REFINE_FAILURE_NO_MORE_SOCKET	Добавление последующих ячеек невозможно.
REFINE_FAILURE_NO_SOCKET0	Добавление %s невыполнимо из-за отсутствия ячейки.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Добавление ячеек к этому предмету невозможно.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Этот предмет нельзя улучшить.
REFINE_SUCCESS	Улучшение предмета прошло успешно.
REFINE_SUCCESS_PROBALITY	Шанс на улучшение: %d%%
REFINE_WARNING2	Продолжить?
SAFEBOX_ERROR	Введён неверный пароль.
SAFEBOX_SELL_DISABLE_SAFEITEM	Продажа сохраннёных предметов невозможна.
SAFEBOX_WRONG_PASSWORD	Пароли должны быть идентичными.
SCREENSHOT_SAVE1	сохранен в
SCREENSHOT_SAVE2	Файл скриншота
SCREENSHOT_SAVE_FAILURE	Скриншот не сохранён.
SECOND	Сек
SELECT_CAN_NOT_DELETE	Удаление персонажа невозможно.
SELECT_CHANGED_NAME	Вы изменили имя персонажа.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Персонаж с таким именем уже существует.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Попробуйте еще раз.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Это неверное имя персонажа.
SELECT_CHANGE_NAME_TITLE	Изменить имя персонажа.
SELECT_DELEING	Персонаж будет удалён
SELECT_DELETED	Удаление прошло успешно.
SELECT_DO_YOU_DELETE_REALLY	Продолжить?
SELECT_EMPTY_SLOT	Это пустое поле.
SELECT_GM_NAME	ГМ
SELECT_INPUT_CHANGING_NAME	Введите новое имя персонажа.
SELECT_NOT_JOIN_GUILD	Гильдия отсутсвует
SHOP_BUY_INFO	Выберите в окне магазина, предмет который хотите купить.
SHOP_CANNOT_SELL_EQUIPMENT	Вы не можете продать снаряженный предмет.
SHOP_CANNOT_SELL_ITEM	Этот предмет не продаётся.
SHOP_ERROR_UNKNOWN	Неизвестная ошибка магазина: %s
SHOP_INVALID_POS	Применить этот предмет невозможно.
SHOP_INVENTORY_FULL	В инвентаре нет свободного места.
SHOP_NOT_ENOUGH_MONEY	Недостаточно янг.
SHOP_NOT_ENOUGH_MONEY_EX	У вас недостаточно янг.
SHOP_SELL_INFO	Выберите в окне инвентаря предмет, который хотите продать.
SHOP_SOLDOUT	Продано
SHOT_ERROR_UNKNOWN	Неизвестная ошибка дальней атаки: %s
SKILL_BLEEDING	Кровотечение
SKILL_BOHO	Отражать
SKILL_BUDONG	Больше не используется
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Вам необходим опыт, чтобы обучиться этому навыку.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Вам необходима книга, обучающая этому навыку.
SKILL_CHEONGEUN	Сильное тело.
SKILL_CRITICAL	Критический удар
SKILL_ENCHANT_POISON	Использовать яд
SKILL_EUNHYEONG	Невидимый
SKILL_FAINT	Головокружение
SKILL_FIND_TRAP	Искать западню
SKILL_FIRE	Сжечь
SKILL_FISHMIND	Рыба-шар активен
SKILL_GAMJI	взять
SKILL_GEOMGYEONG	Аура меча
SKILL_GEONGON	SKILL_GEONGON больше не применяется
SKILL_GICHEON	Помощь Дракона
SKILL_GIGONG	Циркуляция Ши
SKILL_GONGPO	Страх
SKILL_GRADE_NAME_GRAND_MASTER	%s Большой мастер
SKILL_GRADE_NAME_MASTER	%s Мастер
SKILL_GRADE_NAME_PERFECT_MASTER	%s  Великий мастер
SKILL_GROUP_ASSASSIN_1	Клинок
SKILL_GROUP_ASSASSIN_2	Лук
SKILL_GROUP_HORSE	Исскуство наездника
SKILL_GROUP_SHAMAN_1	Драконы
SKILL_GROUP_SHAMAN_2	Исцеление
SKILL_GROUP_SURA_1	Оружие
SKILL_GROUP_SURA_2	Магия
SKILL_GROUP_WARRIOR_1	Тело
SKILL_GROUP_WARRIOR_2	Умственный
SKILL_GWIGEOM	Заколдованный клинок
SKILL_GYEONGGONG	Легкая походка
SKILL_HEUKSIN	Защита тёмных сил
SKILL_HOSIN	Благословение
SKILL_HWAYEOM	SKILL_HWAYEOM больше не применятся
SKILL_HYEOLMA	SKILL_HYEOLMA больше не применяется
SKILL_INC_ATKSPD	Скорость атаки повышена
SKILL_INC_MOVSPD	Скорость движения повышена
SKILL_INMA	SKILL_INMA больше не применяется
SKILL_JEOJU	Заклинание
SKILL_JEONGEOP	Лечение
SKILL_JEONGWI	Берсерк
SKILL_JEONSINBANGEO	Полная защита
SKILL_JEONSINGONGGYEOK	Полная атака	
SKILL_JEUNGCHE	SKILL_JEUNGCHE больше не применяется
SKILL_JEUNGHON	SKILL_JEUNGHON больше не применяется
SKILL_JEUNGRYEOK	Атака+
SKILL_JEUNGSOK	Скорость+
SKILL_JIGAM	SKILL_JIGAM больше не применяется
SKILL_JIPJUNG	SKILL_JIPJUNG больше не применяется
SKILL_JUMAGAP	Заколдованная броня
SKILL_JUMAGEOM	SKILL_JUMAGEOM больше не применяется
SKILL_KWAEGEOM	SKILL_KWAEGEOM больше не применяется
SKILL_KWAESOK	Быстрота
SKILL_LEGBOUND	SKILL_LEGBOUND больше не применяется
SKILL_MUSA	SKILL_MUSA больше не применяется
SKILL_MUYEONG	Дух Огня
SKILL_NEED_EMPTY_BOTTLE	У меня нет пустого кувшина.
SKILL_NEED_POISON_BOTTLE	У меня нет бутылки с ядом.
SKILL_ONLY_FOR_GUILD_WAR	Вы  можете пользоваться этим навыком только в Войне Гильдий.
SKILL_PABEOP	Отменить волшебство.
SKILL_POWERFUL_STRIKE	Парализирующая атака
SKILL_SEOMGWANG	Бомба-молния
SKILL_SINCHAK	SKILL_SINCHAK больше не применяется
SKILL_SLEEP	Сон
SKILL_SLOW	Медленно
SKILL_STUN	Парализовать
SKILL_SUHO	Стражник
SKILL_SUMMON_DESCRIPTION	Шанс на вызов: %d%%
SKILL_TOOLTIP_INT	Интеллект
SKILL_TOOLTIP_LEVEL	Уровень
SKILL_TOXICDIE	Отравление
SKILL_TOXICPOWER	Показатель атаки ядом улучшен
SKILL_TUSOK	Удар Духа
SKILL_WONSIN	SKILL_WONSIN больше не применяется
SKILL_YONGSIN	SKILL_YONGSIN больше не применяется
STAT_MINUS_CON	Регулировка здоровья (Остающ. шанс: %d)
STAT_MINUS_DEX	Регулировка подвижности ( Оставш. шанс: %d)
STAT_MINUS_INT	Регулировка интеллекта (Оставш. шанс:%d)
STAT_MINUS_STR	Регулировка силы (Оставш.шанс: %d)
STAT_TOOLTIP_CON	Повышает ХП и защиту
STAT_TOOLTIP_DEX	Повышает Атаку и Уклон
STAT_TOOLTIP_INT	Повышает МП, магическую атаку и магическую защиту.
STAT_TOOLTIP_STR	Повышает Показатель Атаки и Урон
SYMBOLLIST_TITLE	Регистрировать флаг Гильдии
SYSTEM_OPTION_CPU_TILING_1	Фрагментационный режим может улучшить скорость слабого компьютера.
SYSTEM_OPTION_CPU_TILING_2	Если есть проблемы с графикой, выберите 'Системные Опции' или файл ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	и перейдите таким образом на Фрагментационный режим (GPU-Tiling).
SYSTEM_OPTION_GPU_TILING_1	Фрагментационный режим (GPU-Tiling) работает на слабом PC довольно медленно.
SYSTEM_OPTION_GPU_TILING_2	Если возникли проблемы с графикой, выберите  'Системные Опции' или файл 'CONFIG.exe'
SYSTEM_OPTION_GPU_TILING_3	и перейдите таким образом на Фрагментационный режим( CPU-Tiling).
SYSTEM_OPTION_TILING_EXIT	Для замены Фрагментационного режима необходимо прервать игру.
TARGET_BUTTON_ACCEPT_FIGHT	Согласиться
TARGET_BUTTON_AVENGE	Отмщение
TARGET_BUTTON_BUILDING_DESTROY	Разрушить
TARGET_BUTTON_DISMOUNT	Пасовать
TARGET_BUTTON_EMOTION_ALLOW	Эмоции
TARGET_BUTTON_EXCHANGE	Торговать
TARGET_BUTTON_EXCLUDE	Исключить
TARGET_BUTTON_EXIT_OBSERVER	Прервать Режим наблюдателя
TARGET_BUTTON_FIGHT	Поединок
TARGET_BUTTON_FRIEND	Друг
TARGET_BUTTON_INVITE_GUILD	Приглашение гильдии
TARGET_BUTTON_INVITE_PARTY	Пригласить
TARGET_BUTTON_LEAVE_PARTY	Покинуть группу
TARGET_BUTTON_REQUEST_ENTER_PARTY	Вступить в группу
TARGET_BUTTON_VIEW_EQUIPMENT	Снаряжение
TARGET_BUTTON_WHISPER	Шептание
TARGET_LEVEL_BOSS	Босс
TARGET_LEVEL_KING	Уровень 5.
TARGET_LEVEL_KNIGHT	Уровень 3.
TARGET_LEVEL_PAWN	Уровень 1.
TARGET_LEVEL_S_KNIGHT	Уровень 4.
TARGET_LEVEL_S_PAWN	Уровень 2.
TASKBAR_ATTACK	Атаковать
TASKBAR_AUTO	Нападать автоматически
TASKBAR_CAMERA	Камера
TASKBAR_EXP	Опыт
TASKBAR_HP	ХП
TASKBAR_MOVE	Двигать
TASKBAR_SKILL	Навык
TASKBAR_SP	МП
TASKBAR_ST	СП
THING_COUNT	все
TOOLTIP_ANTI_CRITICAL_PCT	Сопротивление критическим ударам +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Сопротивление пронзающим ударам +%d%%	SA
TOOLTIP_ANTI_SELL	В магазине не продаётся.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Количество поглощения: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Сила против зверей +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Сила против Ниндзя +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Сила против Дьявола +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Сила против  Полулюдей +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Сила против Мистиков +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Сила против Монстров +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Сила против Орков +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Сила против Шаманов +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Сила против Сура +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Сила против Нежити +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Сила против Воинов +%d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Вызвать кровотечение + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Сопротивление кровотечению + %d%%	SA
TOOLTIP_APPLY_BLOCK	Шанс на блокацию физической атаки %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Восстановление МП в бою каждые 5 Сек. %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	%d%% шансов на Критический удар	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% шансов восстановить МП при попадании	SA
TOOLTIP_APPLY_DODGE	Шанс на увернуться от стрелы %d%%	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% шансов на бонус к опыту	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% шансов выбросить вдвое больше янг	SA
TOOLTIP_APPLY_IMMUNE_FALL	Иммунный против падения	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Защита от замедления	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Защита от головокружения	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% шансов выбросить вдвое больше предметов	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% шансов восстановить ХП	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% шансов восстановить МП	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% шансов забрать MP противника	SA
TOOLTIP_APPLY_MAX_HP_PCT	Макс. ХП +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Макс. МП +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Без результата	
TOOLTIP_APPLY_NO_DEATH_PENALTY	Отсутствие потери опыта в случае смерти.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% шансов на нанесение пронзающего удара	SA
TOOLTIP_APPLY_POISON_PCT	Шансы на отравление :%d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Сопротивление яду %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Зелье %d%% рост эффекта	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% шансов отразить заклинание	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%%  шансов отразить физическую атаку	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Шансы на отражение Ниндзя %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Защита от удара колокольчиком  %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Защита от удара кинжалом %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Защита от удара веером %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Шансы на отражение атаки Шаманов  %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Шансы на отражение атаки Сура %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Защита от удара мечом %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Защита от двуручного оружия %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Шансы на отражение атак Воинов %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Сопротивляемость ветру %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Шансы при обучении по книгам увеличены в 2,5 раза.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Если обучение не удалось, Вы можете тут же попробовать еще раз.	SNA
TOOLTIP_APPLY_SLOW_PCT	Шансы на замедление: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	Урон %d%% добавляется к ХП.	SA
TOOLTIP_APPLY_STEAL_SP	Урон %d%% добавляется к МП.	SA
TOOLTIP_APPLY_STUN_PCT	Шансы на головокружение:  %d%%	SA
TOOLTIP_ARMOR	Броня
TOOLTIP_ARROW	Стрела
TOOLTIP_ASSASSIN	Ниндзя
TOOLTIP_ATT_GRADE	Показатель атаки +%d	SA
TOOLTIP_ATT_SPEED	Скорость атаки +%d%%	SA
TOOLTIP_AUTO_POTION_HP	Эликсир солнца
TOOLTIP_AUTO_POTION_REST	Остаток: %.2f%%
TOOLTIP_AUTO_POTION_SP	Эликсир луны
TOOLTIP_AUTO_POTION_USING	Активен
TOOLTIP_BOW_DISTANCE	Диапазон стрельбы +%dm	SA
TOOLTIP_BUYPRICE	Цена: %s
TOOLTIP_CAST_SPEED	Скорость заклинания +%d%%	SA
TOOLTIP_CON	Здоровье +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Бонус костюма %d%%	SA
TOOLTIP_DEF_GRADE	Защита +%d	SA
TOOLTIP_DEX	Подвижность+%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Земля	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Небеса	SNA
TOOLTIP_EAR	Серьги
TOOLTIP_ENERGY	Энергия %d	SA
TOOLTIP_ETC	и т.д.
TOOLTIP_FISHINGROD_EXP	Очки: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Уровень:  %d
TOOLTIP_FISHINGROD_UPGRADE1	Отдать рыбаку,
TOOLTIP_FISHINGROD_UPGRADE2	чтобы получить
TOOLTIP_FISHINGROD_UPGRADE3	улучшеное удилище.
TOOLTIP_FISH_LEN	Длина: %.2f см.
TOOLTIP_HELMET	Шлем
TOOLTIP_HP_REGEN	ХП-регенерация +%d%%	SA
TOOLTIP_INT	Интеллект +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Показатель атаки %d
TOOLTIP_ITEM_ATT_POWER	Показатель атаки %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Показатель атаки  %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Показатель атаки %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Скорость атаки %s
TOOLTIP_ITEM_DEF_GRADE	Защита %d
TOOLTIP_ITEM_FAST	Быстро
TOOLTIP_ITEM_LIMIT_CON	Предел здоровья: %d
TOOLTIP_ITEM_LIMIT_DEX	Предел подвижности: %d
TOOLTIP_ITEM_LIMIT_INT	Предел интеллекта: %d
TOOLTIP_ITEM_LIMIT_LEVEL	с уровня: %d
TOOLTIP_ITEM_LIMIT_STR	Предел силы: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Показатель магической атаки %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Показатель магической атаки %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Магическая защита %d
TOOLTIP_ITEM_NORMAL	нормально
TOOLTIP_ITEM_SLOW	медленно
TOOLTIP_ITEM_VERY_FAST	очень быстро
TOOLTIP_ITEM_VERY_SLOW	очень медленно
TOOLTIP_ITEM_WEARABLE_JOB	[можно снаряжать]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Счастливое число: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Магическая атака +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Показатель магической атаки +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Магическая защита +%d	SA
TOOLTIP_MALL_ATTBONUS	Показатель атаки +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Показатель атаки +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	Янг принимается автом.	SNA
TOOLTIP_MALL_DEFBONUS	Защита +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Защита +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	Опыт +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	иКафе бонус к опыту +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	на 50% больше опыта	SNA
TOOLTIP_MALL_FISH_MIND	Повышенный шанс поймать рыбу.	SNA
TOOLTIP_MALL_GOLDBONUS	Шансы на выпадение янг (%.1f)	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Удвоенные шансы на выпадение янг	SNA
TOOLTIP_MALL_ITEMBONUS	Шансы на выпадение предметов (%.1f)	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	иКафе шанс на захват предметов плюс %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Удвоенные шансы на выпадение предметов	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Очки любви возрастают быстрее.	SNA
TOOLTIP_MALL_SAFEBOX	В вашем распоряжении больше складских помещений.	SNA
TOOLTIP_MAX_HP	Максим. ХП +%d	SA
TOOLTIP_MAX_HP_PCT	Максим. ХП +%d%%	SA
TOOLTIP_MAX_SP	Максим. МП +%d	SA
TOOLTIP_MAX_SP_PCT	Максим. МП +%d%%	SA
TOOLTIP_MAX_STAMINA	Максим. выносливость +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Магическая, ближняя атака +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS-ошибка(%d, %d)
TOOLTIP_MOV_SPEED	Скорость движения %d%%	SA
TOOLTIP_NECK	Ожерелье
TOOLTIP_NEED_ALL_SP	Необходимые МП: Максим.
TOOLTIP_NEED_GSP	Необходимо Дух Дракона: %d
TOOLTIP_NEED_HP	Необходимые ХП: %d
TOOLTIP_NEED_HP_PER_SEC	ХП: %d / Сек.
TOOLTIP_NEED_SKILL_POINT	Необходимые очки навыков:
TOOLTIP_NEED_SP	Необходимые МП: %d
TOOLTIP_NEED_SP_PER_SEC	МП / Сек.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Следующий уровень:%d (Максим. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Следующий уровень: %d (Максим. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Средний урон %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Средн.устойчивость урону %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Больше чем %d участников группы
TOOLTIP_PARTY_INFO_GRADE_UP2	Ступень атаки +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Ступень защиты +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Восстановить ХП/МП всех участников группы через 60 Минут.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Восстановить ХП/МП всех участников группы через 30 Минут.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Время ожидания после смерти участника группы составляет 3 минуты.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Созвать участников группы на одном и том же сервере можно в любое время.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Ступень атаки +(кол.участников группы/ 2) Бойцы атаки %d могут быть выбранны.
TOOLTIP_PARTY_INFO_SET_TANKER	Ступень защиты+(кол.участников группы). Бойцы ближнего боя 1 могут быть выбраны.
TOOLTIP_PARTY_SKILL_LEVEL	Актуальный уровень: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Атака/Защита улучшены]
TOOLTIP_PARTY_TITLE_HEAL	[Восстановить]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Больше %d  участников группы дают бонус к опыту %d%%.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Бонус к опыту]
TOOLTIP_PARTY_TITLE_RECALL	[Созвать]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Определить бойцов атаки]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Определить Бойцом ближнего боя]
TOOLTIP_PICK_EXP	Очки:  %d / %d
TOOLTIP_PICK_LEVEL	Уровень: %d
TOOLTIP_PICK_UPGRADE1	Отдать лесорубу
TOOLTIP_PICK_UPGRADE2	чтобы к лучшей
TOOLTIP_PICK_UPGRADE3	Улучшить Кирку
TOOLTIP_POTION_CURE	Убрать негативные эффекты.
TOOLTIP_POTION_MIN	Мин.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Скорость атаки: +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	ХП: +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	ХП: +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Скорость движения +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	МП +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	МП +%d
TOOLTIP_POTION_SEC	Сек.
TOOLTIP_POTION_TIME	Длительность:
TOOLTIP_REQUIREMENT_21_LEVEL	Необходимо достигнуть хотя бы 21 уровень.
TOOLTIP_REQUIREMENT_41_LEVEL	Необходимо достигнуть хотя бы 41 уровень.
TOOLTIP_REQUIREMENT_LEVEL	Необходимо достигнуть хотя бы уровень %d
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s уровень %d обязателен.
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d обязателен
TOOLTIP_RESIST_BOW	Сопротивляемость стрелам %d%%	SA
TOOLTIP_RESIST_DARK	Сопротивление темноте +%d%%	SA
TOOLTIP_RESIST_EARTH	Сопротивление земле +%d%%	SA
TOOLTIP_RESIST_ELEC	Сопротивляемость молниям %d%%	SA
TOOLTIP_RESIST_FIRE	Сопротивляемость огню %d%%	SA
TOOLTIP_RESIST_ICE	Сопротивление льду +%d%%	SA
TOOLTIP_RESIST_MAGIC	Сопротивляемость Магии %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Осталось: %d
TOOLTIP_SEALED	Предмет зачарован оковами души
TOOLTIP_SELLPRICE	Цена: %s
TOOLTIP_SHAMAN	Шаман
TOOLTIP_SHIELD	Щит
TOOLTIP_SHOES	Туфли
TOOLTIP_SKILL	Навык	SNA
TOOLTIP_SKILLBOOK_NAME	Книга навыков
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Показатель атаки: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Показатель атаки:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Скорость атаки: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Защита:
TOOLTIP_SKILL_AFFECT_DODGE	Показатель атаки противника: -
TOOLTIP_SKILL_AFFECT_HEAL	Восстановить ХП:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Скорость движения: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Шанс отразить физическую атаку:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Сопротивляемость физическому урону:
TOOLTIP_SKILL_COOL_TIME	Время загрузки: 
TOOLTIP_SKILL_DAMAGE_BONUS	Урон навыков %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Сопротивляемость урону навыков %d%%	SA
TOOLTIP_SKILL_DURATION	Длительность: %d Сек.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Лента забвения
TOOLTIP_SKILL_LEVEL	Актуальный уровень: %d
TOOLTIP_SKILL_LEVEL_MASTER	Актуальный уровень: %d (Мастер)
